_id,OCC_DATE,OCC_MONTH,OCC_DOW,OCC_YEAR,OCC_HOUR,DIVISION,FATALITIES,INJURY_COLLISIONS,FTR_COLLISIONS,PD_COLLISIONS,HOOD_158,NEIGHBOURHOOD_158,LONG_WGS84,LAT_WGS84,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,geometry
231691,1497153600000,June,Sunday,2017,14,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
636572,1696737600000,October,Sunday,2023,16,D14,,NO,NO,YES,172,Dovercourt Village (172),-79.42565332599649,43.66198240963741,YES,NO,NO,NO,NO,"{""coordinates"": [[310796.21359471476, 4835784.651847743]], ""type"": ""MultiPoint""}"
209391,1487048400000,February,Tuesday,2017,8,D43,,NO,NO,YES,142,Woburn North (142),-79.2264081376536,43.781893801681335,YES,NO,NO,NO,NO,"{""coordinates"": [[326821.7891017933, 4849139.98599197]], ""type"": ""MultiPoint""}"
199570,1482210000000,December,Tuesday,2016,9,D13,,NO,NO,YES,092,Corso Italia-Davenport (92),-79.45473261740453,43.67527912462009,YES,NO,NO,NO,NO,"{""coordinates"": [[308450.1025258788, 4837260.155772791]], ""type"": ""MultiPoint""}"
92283,1432958400000,May,Saturday,2015,17,D53,,NO,NO,YES,105,Lawrence Park North (105),-79.4021953350534,43.725094674516015,YES,NO,NO,NO,NO,"{""coordinates"": [[312679.88136970624, 4842798.08114809]], ""type"": ""MultiPoint""}"
313444,1530244800000,June,Friday,2018,18,D33,,NO,YES,NO,047,Don Valley Village (47),-79.34374645651901,43.77588191564331,YES,NO,NO,NO,NO,"{""coordinates"": [[317378.3235772414, 4848447.571070184]], ""type"": ""MultiPoint""}"
492502,1619150400000,April,Friday,2021,10,D42,,NO,NO,YES,128,Agincourt South-Malvern West (128),-79.29006909695113,43.787248358009926,YES,NO,NO,NO,NO,"{""coordinates"": [[321696.12070312205, 4849719.900506499]], ""type"": ""MultiPoint""}"
98560,1435896000000,July,Friday,2015,17,D32,,NO,NO,YES,036,Newtonbrook West (36),-79.41765604823921,43.77930839788561,YES,NO,NO,NO,NO,"{""coordinates"": [[311428.26370561303, 4848819.671605142]], ""type"": ""MultiPoint""}"
744646,1745899200000,April,Tuesday,2025,22,D12,,NO,YES,NO,113,Weston (113),-79.50360374771833,43.70228315538223,YES,NO,NO,NO,NO,"{""coordinates"": [[304509.5447385797, 4840259.180584524]], ""type"": ""MultiPoint""}"
519066,1636866000000,November,Sunday,2021,14,D41,,NO,NO,YES,125,Ionview (125),-79.27789139747219,43.72992377092435,YES,NO,YES,NO,NO,"{""coordinates"": [[322693.30810412497, 4843353.899104384]], ""type"": ""MultiPoint""}"
69981,1422594000000,January,Friday,2015,18,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
766834,1756353600000,August,Thursday,2025,14,D22,,NO,YES,NO,159,Etobicoke City Centre (159),-79.55873838760459,43.608374704664605,YES,NO,YES,NO,NO,"{""coordinates"": [[300058.4139479482, 4829828.14737002]], ""type"": ""MultiPoint""}"
73913,1424149200000,February,Tuesday,2015,10,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
131770,1451538000000,December,Thursday,2015,16,D41,,NO,NO,YES,119,Wexford/Maryvale (119),-79.30002947862602,43.75846622784473,YES,NO,NO,NO,NO,"{""coordinates"": [[320902.1877747704, 4846520.315740709]], ""type"": ""MultiPoint""}"
602729,1681272000000,April,Wednesday,2023,6,NSA,,NO,NO,YES,NSA,NSA,0.0,0.0,YES,NO,NO,NO,NO,"{""coordinates"": [[15861840.491636503, 3.481022266728996e-08]], ""type"": ""MultiPoint""}"
630159,1693886400000,September,Tuesday,2023,14,D42,,NO,NO,YES,143,West Rouge (143),-79.14610819353355,43.79896575131272,YES,NO,NO,NO,NO,"{""coordinates"": [[333277.13940302125, 4851061.119636307]], ""type"": ""MultiPoint""}"
348377,1543640400000,December,Saturday,2018,11,D55,,NO,NO,YES,044,Flemingdon Park (44),-79.33444422989193,43.709988375995394,YES,NO,NO,NO,NO,"{""coordinates"": [[318141.77322895674, 4841128.50838532]], ""type"": ""MultiPoint""}"
615638,1687147200000,June,Monday,2023,6,D11,,YES,NO,NO,086,Roncesvalles (86),-79.45183231605466,43.65387640877125,YES,NO,YES,NO,NO,"{""coordinates"": [[308685.3463152121, 4834882.56157738]], ""type"": ""MultiPoint""}"
496485,1622779200000,June,Friday,2021,11,D42,,NO,NO,YES,145,Malvern West (145),-79.23030947605747,43.795589291778725,YES,NO,NO,NO,NO,"{""coordinates"": [[326502.8088585611, 4850660.484555957]], ""type"": ""MultiPoint""}"
718778,1733720400000,December,Monday,2024,15,D52,,NO,NO,YES,166,St Lawrence-East Bayfront-The Islands (166),-79.38146754290888,43.64290718201088,YES,NO,NO,NO,NO,"{""coordinates"": [[314362.9151618106, 4833669.642886563]], ""type"": ""MultiPoint""}"
16296,1395720000000,March,Tuesday,2014,18,D42,,NO,YES,NO,118,Tam O'Shanter-Sullivan (118),-79.32142756986906,43.77196242143113,YES,NO,NO,NO,NO,"{""coordinates"": [[319175.9207382601, 4848015.7598834755]], ""type"": ""MultiPoint""}"
284613,1517979600000,February,Wednesday,2018,12,D53,,NO,YES,YES,095,Annex (95),-79.39336274626848,43.671545312508925,YES,NO,NO,NO,NO,"{""coordinates"": [[313399.15078452404, 4836849.878837739]], ""type"": ""MultiPoint""}"
652978,1703998800000,December,Sunday,2023,1,D51,,NO,YES,NO,168,Downtown Yonge East (168),-79.37701795027084,43.66018909929288,YES,NO,NO,NO,NO,"{""coordinates"": [[314719.0530980005, 4835590.088268843]], ""type"": ""MultiPoint""}"
195731,1480914000000,December,Monday,2016,8,D33,,NO,NO,YES,042,Banbury-Don Mills (42),-79.339878418103,43.73383481496521,YES,NO,NO,NO,NO,"{""coordinates"": [[317698.72684842895, 4843776.885721969]], ""type"": ""MultiPoint""}"
250966,1505361600000,September,Thursday,2017,7,D53,,YES,NO,NO,103,Lawrence Park South (103),-79.41452631820636,43.718065370968674,YES,NO,NO,YES,NO,"{""coordinates"": [[311687.2095367439, 4842016.057386403]], ""type"": ""MultiPoint""}"
416368,1569470400000,September,Thursday,2019,12,D52,,NO,NO,YES,166,St Lawrence-East Bayfront-The Islands (166),-79.37908774449542,43.64591718502081,YES,NO,NO,NO,NO,"{""coordinates"": [[314554.42462234874, 4834004.313654657]], ""type"": ""MultiPoint""}"
128271,1449723600000,December,Thursday,2015,10,D53,,NO,YES,NO,098,Rosedale-Moore Park (98),-79.39003395379015,43.67820632551102,YES,NO,NO,NO,NO,"{""coordinates"": [[313666.60138332134, 4837590.233080142]], ""type"": ""MultiPoint""}"
14922,1394942400000,March,Sunday,2014,13,D14,,NO,NO,YES,078,Kensington-Chinatown (78),-79.40398193200464,43.6471940876252,YES,NO,NO,NO,NO,"{""coordinates"": [[312545.9571558989, 4834143.546172629]], ""type"": ""MultiPoint""}"
